🚀 Ultra-fast parallel embedding generation
  Target: 600,000 trials
  Batch size: 200 texts per OpenAI call
  Concurrent API calls: 5
  DB update threads: 50

Processed: 1,000 | Success: 802 | Rate: 43.6/sec | ETA: 228.8min
Processed: 2,000 | Success: 1,602 | Rate: 55.8/sec | ETA: 178.8min
Processed: 3,000 | Success: 2,339 | Rate: 61.8/sec | ETA: 161.0min
Processed: 4,000 | Success: 2,748 | Rate: 62.2/sec | ETA: 159.6min
Processed: 5,000 | Success: 3,272 | Rate: 60.2/sec | ETA: 164.7min
Processed: 6,000 | Success: 3,972 | Rate: 62.2/sec | ETA: 159.3min
Processed: 7,000 | Success: 4,639 | Rate: 62.5/sec | ETA: 158.1min
Processed: 8,000 | Success: 5,241 | Rate: 65.0/sec | ETA: 151.9min
Processed: 9,000 | Success: 5,821 | Rate: 57.7/sec | ETA: 170.6min
Processed: 10,000 | Success: 6,443 | Rate: 58.2/sec | ETA: 169.1min
Processed: 11,000 | Success: 7,194 | Rate: 59.9/sec | ETA: 163.9min
Processed: 12,000 | Success: 7,906 | Rate: 60.6/sec | ETA: 161.7min
Processed: 13,000 | Success: 8,517 | Rate: 59.6/sec | ETA: 164.1min
Processed: 14,000 | Success: 9,217 | Rate: 61.2/sec | ETA: 159.5min
Processed: 15,000 | Success: 9,917 | Rate: 62.1/sec | ETA: 157.0min
Processed: 16,000 | Success: 10,817 | Rate: 61.8/sec | ETA: 157.6min
Processed: 17,000 | Success: 11,474 | Rate: 62.5/sec | ETA: 155.4min
Processed: 18,000 | Success: 11,903 | Rate: 62.9/sec | ETA: 154.3min
Processed: 19,000 | Success: 12,902 | Rate: 64.3/sec | ETA: 150.7min
Processed: 20,000 | Success: 13,482 | Rate: 64.1/sec | ETA: 150.8min
Processed: 21,000 | Success: 14,194 | Rate: 64.5/sec | ETA: 149.6min
Processed: 22,000 | Success: 14,929 | Rate: 63.3/sec | ETA: 152.1min
Processed: 23,000 | Success: 15,629 | Rate: 63.4/sec | ETA: 151.6min
Processed: 24,000 | Success: 16,268 | Rate: 63.1/sec | ETA: 152.0min
